Ssiderea046003	factor 19
Ssiderea018817	regulation of cyclin-dependent protein serine/threonine kinase activity
Ssiderea011783	7 transmembrane receptor (rhodopsin family)
Ssiderea055537	structural constituent of cytoskeleton
Ssiderea007211	negative regulation of cellular response to hepatocyte growth factor stimulus
Ssiderea058017	Neurogenic differentiation factor
Ssiderea025617	phosphodiesterase I activity
Ssiderea056440	lipid catabolic process
Ssiderea050689	potassium voltage-gated channel
Ssiderea044493	adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
Ssiderea043484	regulation of mitotic cell cycle
Ssiderea048151	U-box domain
Ssiderea027649	WD domain, G-beta repeat
Ssiderea011570	G-protein coupled receptor activity
Ssiderea047645	TBC1 domain family, member 4
Ssiderea012075	phosphatidylinositol-3,4-bisphosphate binding
Ssiderea002161	succinate dehydrogenase cytochrome b560 subunit
Ssiderea040285	Acts in a cell autonomous fashion to specify the properties of the sensory ray and non-autonomously in the choice of hypodermal versus neuroblast cell fate
Ssiderea050533	positive regulation of smooth muscle cell-matrix adhesion
Ssiderea029361	positive regulation of epithelial to mesenchymal transition
Ssiderea028821	positive regulation of cell-substrate adhesion
Ssiderea022078	mediator complex binding
Ssiderea013823	regulation of mitotic cell cycle
Ssiderea056505	Zinc-binding domain present in Lin-11, Isl-1, Mec-3.
Ssiderea019916	G-protein coupled receptor activity
Ssiderea010253	zinc ion binding
Ssiderea059107	plexin domain-containing protein
Ssiderea045956	Sel1-like repeats.
Ssiderea033857	carbohydrate binding
Ssiderea053588	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea035085	7 transmembrane receptor (rhodopsin family)
Ssiderea035685	Lectin C-type domain
Ssiderea023978	cyclin-dependent kinase 9
Ssiderea030111	Flavin containing amine oxidoreductase
Ssiderea020938	zinc ion binding
Ssiderea037624	ATP-dependent DNA helicase
Ssiderea009807	-
Ssiderea012927	acid phosphatase activity
Ssiderea005230	amine oxidase
Ssiderea038678	lens fiber cell differentiation
Ssiderea047333	cell surface pattern recognition receptor signaling pathway
Ssiderea044927	peptidase inhibitor activity
Ssiderea056682	C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
Ssiderea017509	TerD domain
Ssiderea009205	Brevican
Ssiderea045628	Mediates the voltage-dependent sodium ion permeability of excitable membranes
Ssiderea024180	sulfuric ester hydrolase activity
Ssiderea018819	mitochondrial transport
Ssiderea030026	fibronectin type III and laminin G domains
Ssiderea035895	F-box domain
Ssiderea028281	melatonin receptor activity
Ssiderea023230	thiol-dependent ubiquitin-specific protease activity
Ssiderea039805	positive regulation of epithelial to mesenchymal transition
Ssiderea003690	lyase activity
Ssiderea043812	carbohydrate binding
Ssiderea040575	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein
Ssiderea045878	BTB And C-terminal Kelch
Ssiderea016502	G-protein coupled receptor activity
Ssiderea048206	protein homodimerization activity
Ssiderea028784	calcium-dependent phospholipase C activity
Ssiderea026719	Ubiquitin interaction motif
Ssiderea058894	maintenance of animal organ identity
Ssiderea60947	DNA-dependent ATPase and 5'-3' DNA helicase required for the maintenance of both mitochondrial and nuclear genome stability. Efficiently unwinds G-quadruplex (G4) DNA structures and forked RNA-DNA hybrids. Resolves G4 structures, preventing replication pausing and double-strand breaks (DSBs) at G4 motifs. Involved in the maintenance of telomeric DNA. Inhibits telomere elongation, de novo telomere formation and telomere addition to DSBs via catalytic inhibition of telomerase. Reduces the processivity of telomerase by displacing active telomerase from DNA ends. Releases telomerase by unwinding the short telomerase RNA telomeric DNA hybrid that is the intermediate in the telomerase reaction. Involved in the maintenance of ribosomal (rDNA). Required for efficient fork arrest at the replicaion fork barrier within rDNA. Involved in the maintenance of mitochondrial (mtDNA). Required to maintain mtDNA under conditions that introduce dsDNA breaks in mtDNA, either preventing or repairing dsDNA breaks. May inhibit replication progression to allow time for repair. May have a general role in chromosomal replication by affecting Okazaki fragment maturation. May have a role in conjunction with DNA2 helicase nuclease in 5'-flap extension during Okazaki fragment processing
Ssiderea052474	-
Ssiderea60475	Transposase
Ssiderea024308	acyl-CoA synthetase medium-chain family member 3
Ssiderea021020	Animal haem peroxidase
Ssiderea004695	G-protein coupled receptor activity
Ssiderea62848	influenza virus
Ssiderea041608	acetylcholine-gated cation-selective channel activity
Ssiderea017117	phosphoenolpyruvate carboxykinase activity
Ssiderea054593	CUB and zona pellucida-like domain-containing protein
Ssiderea039479	-
Ssiderea017557	Thyroglobulin
Ssiderea000053	3'-flap-structured DNA binding
Ssiderea018067	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
Ssiderea054513	positive regulation of cell-substrate adhesion
Ssiderea035350	Belongs to the protein kinase superfamily. Tyr protein kinase family
Ssiderea014949	GDP-D-glucose phosphorylase 1
Ssiderea042025	ADP-ribosylation factor-like protein 2-binding protein
Ssiderea002022	response to axon injury
Ssiderea055534	mitochondrial calcium ion homeostasis
Ssiderea025388	May play a role in anchoring the cytoskeleton to the plasma membrane
Ssiderea055492	Vacuolar protein sorting-associated protein 35
Ssiderea048658	Dehydratase family
Ssiderea034003	regulation of vesicle fusion
Ssiderea61603	Ribonuclease H protein
Ssiderea044755	regulation of chromosome segregation
Ssiderea016099	gamma-aminobutyric acid type B receptor subunit
Ssiderea033830	structural constituent of cuticle
Ssiderea021887	replicative cell aging
Ssiderea036090	Hemicentin 1
Ssiderea040306	Pectinacetylesterase
Ssiderea034977	dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity
Ssiderea046608	regulation of ectodermal cell fate specification
Ssiderea033917	-
Ssiderea032906	Caspase domain
Ssiderea044560	NLR family, CARD domain containing 5
Ssiderea016473	Extracellular calcium-sensing receptor-like
Ssiderea017075	RQC
Ssiderea011399	It is involved in the biological process described with
Ssiderea045040	Belongs to the peptidase M10A family
Ssiderea044452	NACHT domain
Ssiderea011245	zinc ion binding
Ssiderea055230	glucuronosyltransferase activity
Ssiderea025625	neurotransmitter:sodium symporter activity
Ssiderea013153	positive regulation of histone H3-K79 methylation
Ssiderea036088	microtubule motor activity
Ssiderea032580	distal tubule morphogenesis
Ssiderea61470	CUB and zona pellucida-like domain-containing protein
Ssiderea045937	histone deacetylation
Ssiderea034300	transmembrane receptor protein tyrosine kinase activity
Ssiderea025589	Polysaccharide deacetylase
Ssiderea017684	phosphatidylethanolamine binding
Ssiderea043845	Ankyrin repeat and KH domain-containing protein 1
Ssiderea026174	appendage morphogenesis
Ssiderea037476	DBH-like monooxygenase protein 1
Ssiderea023449	Sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)
Ssiderea022210	Protein of unknown function (DUF640)
Ssiderea022884	G-protein coupled receptor activity
Ssiderea024262	DNA repair protein SWI5 homolog
Ssiderea024133	carbohydrate binding
Ssiderea036066	condensed mesenchymal cell proliferation
Ssiderea045995	FAD dependent oxidoreductase
Ssiderea025045	zinc ion binding
Ssiderea026266	chromatin organization
Ssiderea017798	KH-type splicing regulatory protein
Ssiderea047880	protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1
Ssiderea018150	intermembrane lipid transfer activity
Ssiderea004822	Yes-related kinase
Ssiderea002408	Immunoglobulin domain
Ssiderea034830	Copine family member IX
Ssiderea011805	-
Ssiderea002826	A disintegrin and metalloproteinase with thrombospondin motifs
Ssiderea015303	PX domain
Ssiderea013753	Collagen triple helix
Ssiderea021795	Laminin G domain
Ssiderea008795	Splicing factor 1 helix-hairpin domain
Ssiderea008312	EGF-like repeat and discoidin I-like domain-containing protein
Ssiderea001493	diolein transacylation activity
Ssiderea049519	-
Ssiderea043928	methyltransferase
Ssiderea042854	chromosome 1 open reading frame 43
Ssiderea039301	glossopharyngeal nerve morphogenesis
Ssiderea052033	Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein.
Ssiderea021875	protein import into nucleus
Ssiderea010535	MMS22-like
Ssiderea052137	Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein.
Ssiderea017851	NADP-retinol dehydrogenase activity
Ssiderea008221	calcium ion binding
Ssiderea002049	Transcription factor AP-4 (activating enhancer binding protein 4)
Ssiderea032253	Common central domain of tyrosinase
Ssiderea052874	sequence-specific DNA binding
Ssiderea039880	HMG box domain containing 3
Ssiderea009400	serine C-palmitoyltransferase activity
Ssiderea017633	It is involved in the biological process described with receptor-mediated endocytosis
Ssiderea039620	Mitochondrial ribonuclease P protein
Ssiderea019326	nucleic acid binding
Ssiderea013127	vacuolar protein sorting-associated protein 72 homolog
Ssiderea028751	CUB and zona pellucida-like domain-containing protein
Ssiderea016719	positive regulation of ER to Golgi vesicle-mediated transport
Ssiderea008299	embryonic plasmatocyte differentiation
Ssiderea047811	stabilization of membrane potential
Ssiderea034163	Ring finger domain
Ssiderea042591	Broad-specificity nucleoside monophosphate (NMP) kinase that catalyzes the reversible transfer of the terminal phosphate group between nucleoside triphosphates and monophosphates. May have a role in nuclear energy homeostasis. Has also ATPase activity. May be involved in regulation of Cajal body (CB) formation
Ssiderea052054	Carboxypeptidase
Ssiderea61959	-
Ssiderea057802	run and fyve
Ssiderea011926	Belongs to the arylamine N-acetyltransferase family
Ssiderea009746	thyroid adenoma-associated protein
Ssiderea033817	RNA binding motif protein 45
Ssiderea046641	cerebellum vasculature morphogenesis
Ssiderea034939	transmembrane transport
Ssiderea011260	-
Ssiderea035614	neurogenic locus notch homolog protein
Ssiderea016961	negative regulation of oxidative stress-induced neuron death
Ssiderea035849	Belongs to the G-protein coupled receptor 2 family
Ssiderea009243	unfolded protein binding
Ssiderea009026	carbohydrate binding
Ssiderea014209	MYB binding protein (P160) 1a
Ssiderea001752	Domain present in ZO-1 and Unc5-like netrin receptors
Ssiderea006476	S-adenosylmethionine cycle
Ssiderea009974	Tetratricopeptide repeat
Ssiderea041320	Common central domain of tyrosinase
Ssiderea026958	interleukin-8 biosynthetic process
Ssiderea015804	chromatin organization
Ssiderea053118	Exportin-4
Ssiderea018502	neurotransmitter:sodium symporter activity
Ssiderea054628	adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
Ssiderea025540	ribosomal protein, L55
Ssiderea022471	It is involved in the biological process described with protein phosphorylation
Ssiderea034275	NACHT, LRR and PYD domains-containing protein
Ssiderea051389	sorting nexin
Ssiderea006312	metalloaminopeptidase activity
Ssiderea038028	Tnf receptor-associated factor 2
Ssiderea62103	Leucine Rich repeat
Ssiderea015074	peptidase inhibitor activity
Ssiderea032363	double-stranded DNA 5'-3' exodeoxyribonuclease activity
Ssiderea018615	G-protein coupled receptor activity
Ssiderea028650	metal ion binding
Ssiderea000700	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Ssiderea008483	Domain of unknown function (DUF4464)
Ssiderea050878	flavoprotein involved in K transport
Ssiderea010387	metal ion binding
Ssiderea002707	cell adhesion
Ssiderea055850	frizzled binding
Ssiderea040853	Ig-like domain on T-cell surface glycoprotein CD3 epsilon chain
Ssiderea043453	Protein tyrosine kinase
Ssiderea016248	Subtilase family
Ssiderea038876	CAP_GLY
Ssiderea024405	Helicase conserved C-terminal domain
Ssiderea61448	-
Ssiderea020299	Belongs to the protein kinase superfamily. Tyr protein kinase family. CSF-1 PDGF receptor subfamily
Ssiderea052841	deoxynucleotidyltransferase, terminal, interacting protein 2
Ssiderea029223	cyclic-GMP-AMP synthase activity
Ssiderea000130	solute carrier family 22
Ssiderea029677	7 transmembrane receptor (rhodopsin family)
Ssiderea028973	Ammonium transporter
Ssiderea015646	regulation of tocopherol cyclase activity
Ssiderea039572	G-protein coupled receptor activity
Ssiderea000424	-
Ssiderea005251	glutathione hydrolase activity
Ssiderea003151	G-protein coupled receptor activity
Ssiderea019973	Epidermal growth factor-like domain.
Ssiderea025501	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Ssiderea010228	zinc ion binding
Ssiderea006916	G-protein coupled receptor activity
Ssiderea003780	belongs to the actin family
Ssiderea048332	spermatid differentiation
Ssiderea045387	positive regulation of myosin-light-chain-phosphatase activity
Ssiderea022842	NLRP3 inflammasome complex assembly
Ssiderea046256	Domain of unknown function (DUF4615)
Ssiderea003305	protoporphyrinogen oxidase activity
Ssiderea012315	C-terminal, D2-small domain, of ClpB protein
Ssiderea012322	steroid binding
Ssiderea057763	positive regulation of TOR signaling
Ssiderea62616	EGF domain
Ssiderea055627	Rab-GTPase-TBC domain
Ssiderea051818	HECT-domain (ubiquitin-transferase)
Ssiderea008778	symporter activity
Ssiderea015663	male genitalia morphogenesis
Ssiderea040623	digestion
Ssiderea028487	Utp25, U3 small nucleolar RNA-associated SSU processome protein 25
Ssiderea004355	transcription coactivator activity
Ssiderea033219	ribosomal protein
Ssiderea055231	glucuronosyltransferase activity
Ssiderea035823	Galactose-3-O-sulfotransferase
Ssiderea033353	V-mos Moloney murine sarcoma viral oncogene homolog
Ssiderea033128	mannosylation
Ssiderea013207	alpha-1,4-glucosidase activity
Ssiderea044764	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41
Ssiderea026273	Homocysteine S-methyltransferase
Ssiderea021831	-
Ssiderea015320	organic anion transmembrane transporter activity
Ssiderea014135	-
Ssiderea012570	Loss of heterozygosity, 12, chromosomal region 1
