Ssiderea250769	tRNA guanylyltransferase activity
Ssiderea249318	Histidine phosphatase superfamily (branch 2)
Ssiderea229568	histamine-induced gastric acid secretion
Ssiderea260839	methylcrotonoyl-CoA carboxylase activity
Ssiderea231742	MFS_1 like family
Ssiderea261804	Ubiquitin-protein ligase
Ssiderea230789	Zinc finger CCHC
Ssiderea209490	phosphatidylinositol phospholipase C activity
Ssiderea271073	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea247808	Rac guanyl-nucleotide exchange factor activity
Ssiderea220446	endoplasmic reticulum calcium ion homeostasis
Ssiderea257251	Asparagine-linked glycosylation 1 homolog (yeast, beta-1,4-mannosyltransferase)
Ssiderea267224	K02A2.6-like
Ssiderea43919	retinol dehydrogenase activity
Ssiderea257915	calcium, potassium:sodium antiporter activity
Ssiderea226504	Belongs to the group II decarboxylase family
Ssiderea243780	positive regulation of DNA strand elongation
Ssiderea260142	methylcrotonoyl-CoA carboxylase activity
Ssiderea228561	CHAT domain
Ssiderea231552	transmembrane transport
Ssiderea252872	Catenin (Cadherin-associated protein), alpha
Ssiderea248104	metallocarboxypeptidase activity
Ssiderea259756	Aminotransferase class I and II
Ssiderea229943	Belongs to the helicase family. RecQ subfamily
Ssiderea254863	ubiquitin binding
Ssiderea249142	positive regulation of DNA demethylation
Ssiderea258675	GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity
Ssiderea237825	sodium-coupled neutral amino acid transporter
Ssiderea361932	sequence-specific DNA binding
Ssiderea242529	3',5'-cyclic-GMP phosphodiesterase activity
Ssiderea253083	Functions as actin-binding component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
Ssiderea252693	protein propionyltransferase activity
Ssiderea239390	heterogeneous nuclear ribonucleoprotein
Ssiderea249240	Aminotransferase class I and II
Ssiderea256086	Epsilon subunit of F1F0-ATP synthase N-terminal domain-containing protein
Ssiderea246133	snRNA export from nucleus
Ssiderea139054	Produces ATP from ADP in the presence of a proton gradient across the membrane
Ssiderea205100	Dynein heavy chain, N-terminal region 1
Ssiderea264589	testis expressed 1
Ssiderea461072	positive regulation of cytoplasmic translation
Ssiderea258314	ribonuclease H protein At1g65750
Ssiderea257588	Glycosyl hydrolase family 20, catalytic domain
Ssiderea267315	positive regulation of myosin-light-chain-phosphatase activity
Ssiderea140436	Peptidase family M13
Ssiderea238176	Nucleotidyl transferase
Ssiderea409559	regulation of synaptic plasticity by receptor localization to synapse
Ssiderea253609	Surfeit locus protein
Ssiderea271352	G-protein coupled receptor activity
Ssiderea264755	Ribosomal protein S27a
Ssiderea253262	CHAT domain
Ssiderea264839	Belongs to the ubiquitin-conjugating enzyme family
Ssiderea247699	zinc finger
Ssiderea253244	rRNA binding
Ssiderea250265	cyclic-GMP-AMP synthase activity
Ssiderea267699	actin binding
Ssiderea262416	Protein Family FAM117
Ssiderea251456	G-protein coupled GABA receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Ssiderea271261	Helicase with zinc finger
Ssiderea264218	Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1C gives rise to L-type calcium currents. Long-lasting (L-type) calcium channels belong to the 'high-voltage activated' (HVA) group. They are blocked by dihydropyridines (DHP), phenylalkylamines, benzothiazepines, and by omega-agatoxin-IIIA (omega-Aga-IIIA). They are however insensitive to omega-conotoxin- GVIA (omega-CTx-GVIA) and omega-agatoxin-IVA (omega-Aga-IVA). Calcium channels containing the alpha-1C subunit play an important role in excitation-contraction coupling in the heart. Binding of calmodulin or CABP1 at the same regulatory sites results in an opposit effects on the channel function
Ssiderea249776	Rhomboid domain containing 1
Ssiderea245000	rRNA processing
Ssiderea249222	Pleckstrin homology domain.
Ssiderea239332	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome
Ssiderea298997	Elongation factor
Ssiderea267762	induction by virus of host autophagy
Ssiderea357989	glutamine biosynthetic process
Ssiderea200334	nucleic acid binding
Ssiderea270033	DUF1771
Ssiderea349733	ubiquitin carboxyl-terminal hydrolase
Ssiderea239758	cationic amino acid transporter
Ssiderea266736	Ring finger
Ssiderea268795	4 iron, 4 sulfur cluster binding
Ssiderea269199	Belongs to the peptidase C19 family
Ssiderea259314	ribosomal protein
Ssiderea243870	protein C2orf50 homolog
Ssiderea250803	retrograde transport, endosome to plasma membrane
Ssiderea261889	recombination hotspot binding
Ssiderea256141	V-type proton ATPase subunit B
Ssiderea596648	Cationic amino acid transporter
Ssiderea266257	endothelial regulator
Ssiderea257568	positive regulation of maintenance of mitotic sister chromatid cohesion
Ssiderea254629	-
Ssiderea251784	Cupin-like domain
Ssiderea259586	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
Ssiderea262370	Rab guanyl-nucleotide exchange factor activity
Ssiderea238729	negative regulation of smoothened signaling pathway
Ssiderea211379	calmodulin-dependent protein kinase activity
Ssiderea255833	mitochondrial DNA replication
Ssiderea227409	polypeptide N-acetylgalactosaminyltransferase activity
Ssiderea254844	G-protein beta/gamma-subunit complex binding
Ssiderea256017	phosphatase binding
Ssiderea236813	GABA-A receptor activity
Ssiderea259120	otolith morphogenesis
Ssiderea260588	Protein tyrosine kinase
Ssiderea259680	o-methyltransferase
Ssiderea227031	P-loop containing nucleoside triphosphate hydrolase protein
Ssiderea253965	regulation of CD8-positive, alpha-beta T cell proliferation
Ssiderea254210	ATPase activity, coupled to transmembrane movement of substances
Ssiderea138976	cementum mineralization
Ssiderea253679	CD4 receptor binding
Ssiderea213602	Belongs to the Nudix hydrolase family
Ssiderea248461	glucose:sodium symporter activity
Ssiderea249945	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1
Ssiderea221108	Acetyltransferase (GNAT) domain
Ssiderea229806	rRNA (adenine-N6,N6-)-dimethyltransferase activity
Ssiderea223142	Calcium-binding protein
Ssiderea268375	Belongs to the glycosyl hydrolase 5 (cellulase A) family
Ssiderea267835	negative regulation of axon extension involved in regeneration
Ssiderea228245	Universal stress protein family
Ssiderea244813	ubiquitin protein ligase binding
Ssiderea235723	molybdopterin cofactor binding
Ssiderea252724	translation initiation factor activity
Ssiderea267784	Lys63-specific deubiquitinase activity
Ssiderea257468	regulation of ARF protein signal transduction
Ssiderea240257	Alkylated DNA repair protein alkB homolog
Ssiderea225164	Glutathione S-transferase, C-terminal domain
Ssiderea242156	lipoprotein receptor-related protein
Ssiderea259813	Belongs to the zinc-containing alcohol dehydrogenase family. Class-III subfamily
Ssiderea238580	serine C-palmitoyltransferase activity
Ssiderea251933	NACHT and WD repeat
Ssiderea235597	Pyruvate Dehydrogenase Phosphatase Regulatory subunit
Ssiderea255382	Dynein heavy chain, N-terminal region 1
Ssiderea541309	ribosomal protein
Ssiderea263338	ribosomal protein import into nucleus
Ssiderea239924	MyD88-dependent toll-like receptor signaling pathway
Ssiderea224187	Centromere protein O
Ssiderea142848	Domain in meprin, A5, receptor protein tyrosine phosphatase mu (and others)
Ssiderea264703	neuropeptide Y receptor activity
Ssiderea247426	solute carrier family 41
Ssiderea242183	HD domain
Ssiderea49051	calcium ion binding
Ssiderea258965	Cell division cycle 73
Ssiderea268227	NADP-retinol dehydrogenase activity
Ssiderea226313	positive regulation of DNA-directed DNA polymerase activity
Ssiderea204295	hydrolase activity
Ssiderea247714	synaptic vesicle uncoating
Ssiderea267444	Phosphatidylinositol 4-kinase type
Ssiderea247127	EF-hand domain pair
Ssiderea227564	Cytochrome P450, family 21, subfamily A, polypeptide 2
Ssiderea247581	Carboxypeptidase
Ssiderea221526	A disintegrin and metalloproteinase with thrombospondin motifs
Ssiderea265585	glutamate-cysteine ligase
Ssiderea242084	regulation of cardiac muscle cell myoblast differentiation
Ssiderea241246	GTPase activity
Ssiderea31452	metanephric glomerular basement membrane development
Ssiderea264675	adenylate cyclase-activating G-protein coupled receptor signaling pathway
Ssiderea248324	DnaJ molecular chaperone homology domain
Ssiderea247222	histone H2A-K13 ubiquitination
Ssiderea239341	cationic amino acid transporter
Ssiderea254810	ADP-ribosylglycohydrolase
Ssiderea237623	ubiquitin-protein transferase activity
Ssiderea247521	prolyl 4-hydroxylase
Ssiderea573375	co-translational protein modification
Ssiderea256457	phosphatidylserine decarboxylase activity
Ssiderea202719	glycerone-phosphate O-acyltransferase activity
Ssiderea237188	Cleft lip and palate transmembrane protein 1-like protein
Ssiderea260747	U1 snRNA 3'-end processing
Ssiderea217834	complement activation, lectin pathway
Ssiderea268531	ATPase activity, coupled to transmembrane movement of substances
Ssiderea269282	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea230334	translation initiation factor activity
Ssiderea240055	sphingomyelin phosphodiesterase D activity
Ssiderea265714	Chondroitin
Ssiderea267049	sulfuric ester hydrolase activity
Ssiderea224718	ephrin receptor activity
Ssiderea442952	helicase superfamily c-terminal domain
Ssiderea261038	outer dynein arm assembly
Ssiderea258725	snRNA 3'-end processing
Ssiderea216971	GABA-A receptor activity
Ssiderea215780	adenylate cyclase-activating G-protein coupled receptor signaling pathway
Ssiderea261730	Eukaryotic peptide chain release factor subunit
Ssiderea236332	Mitochondrial carrier protein
Ssiderea271575	serine-type endopeptidase inhibitor activity
Ssiderea268760	scavenger receptor activity
Ssiderea206506	endoplasmic reticulum protein retention receptor
Ssiderea584034	Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family
Ssiderea266876	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1
Ssiderea142324	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea238211	protein K33-linked ubiquitination
Ssiderea241582	lysosomal lumen pH elevation
Ssiderea269161	positive regulation of cholangiocyte proliferation
Ssiderea267372	Methylcytosine dioxygenase
Ssiderea234210	signaling receptor binding
Ssiderea255309	hydrolase activity
Ssiderea267133	Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1C gives rise to L-type calcium currents. Long-lasting (L-type) calcium channels belong to the 'high-voltage activated' (HVA) group. They are blocked by dihydropyridines (DHP), phenylalkylamines, benzothiazepines, and by omega-agatoxin-IIIA (omega-Aga-IIIA). They are however insensitive to omega-conotoxin- GVIA (omega-CTx-GVIA) and omega-agatoxin-IVA (omega-Aga-IVA). Calcium channels containing the alpha-1C subunit play an important role in excitation-contraction coupling in the heart. Binding of calmodulin or CABP1 at the same regulatory sites results in an opposit effects on the channel function
Ssiderea233597	translocon-associated protein
Ssiderea264669	rRNA processing
Ssiderea238624	general transcription factor
Ssiderea238840	It is involved in the biological process described with
Ssiderea244484	ADP-ribosylation factor family
Ssiderea248313	Specifically deglycosylates the denatured form of N- linked glycoproteins in the cytoplasm and assists their proteasome-mediated degradation. Cleaves the beta-aspartyl- glucosamine (GlcNAc) of the glycan and the amide side chain of Asn, converting Asn to Asp. Prefers proteins containing high- mannose over those bearing complex type oligosaccharides. Can recognize misfolded proteins in the endoplasmic reticulum that are exported to the cytosol to be destroyed and deglycosylate them, while it has no activity toward native proteins. Deglycosylation is a prerequisite for subsequent proteasome-mediated degradation of some, but not all, misfolded glycoproteins
Ssiderea220615	adenine phosphoribosyltransferase activity
Ssiderea37402	regulation of microtubule polymerization or depolymerization
Ssiderea233124	deadenylation-dependent decapping of nuclear-transcribed mRNA
Ssiderea237992	endopeptidase inhibitor activity
Ssiderea265290	response to osmotic stress
Ssiderea221439	axonemal central apparatus assembly
Ssiderea269379	-
Ssiderea228656	actin filament binding
Ssiderea213621	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Ssiderea64867	zinc finger
Ssiderea265317	response to flavonoid
Ssiderea238340	protein deglutamylation
Ssiderea219833	metallocarboxypeptidase activity
Ssiderea230876	ATPase activity
Ssiderea268816	positive regulation of establishment of T cell polarity
Ssiderea240596	transmembrane transport
Ssiderea323653	RAB10, member RAS oncogene family
Ssiderea265866	negative regulation of inclusion body assembly
Ssiderea384564	Thyroglobulin type I repeats.
Ssiderea261176	signal peptide processing
Ssiderea267671	Leukotriene A-4 hydrolase
Ssiderea234217	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea263308	negative regulation of inclusion body assembly
Ssiderea261141	T cell proliferation involved in immune response
Ssiderea256865	WD repeat domain 20
Ssiderea449623	integrin binding
Ssiderea265358	protein-glycine ligase activity, initiating
Ssiderea259523	Bromodomain-containing protein 7
Ssiderea222497	calcium ion binding
Ssiderea254707	Ribonuclease H protein
Ssiderea271057	Protein rolling stone-like
Ssiderea269820	BAT3 complex binding
Ssiderea212530	DEP domain-containing protein
Ssiderea237569	Carboxypeptidase
Ssiderea214070	peptidase activator activity
Ssiderea165981	calcium ion binding
Ssiderea209999	multicellular organism development
Ssiderea267379	Alkylglycerol monooxygenase
Ssiderea220081	GABA-A receptor activity
Ssiderea197682	locomotion involved in locomotory behavior
Ssiderea242169	regulation of RNA splicing
Ssiderea250386	ribosomal protein L8
Ssiderea270151	Presequence protease
Ssiderea248633	helicase
