Ssiderea256452	guanine/thymine mispair binding
Ssiderea249412	Beta-catenin-like protein 1
Ssiderea250750	LIM domain kinase
Ssiderea251136	microtubule motor activity
Ssiderea263207	Belongs to the MT-A70-like family
Ssiderea232384	regulator of calcineurin 2
Ssiderea262594	heme binding
Ssiderea248597	organic anion transmembrane transporter activity
Ssiderea250130	proteasome assembly
Ssiderea261017	phosphatase 4 regulatory subunit 4
Ssiderea246850	sexual reproduction
Ssiderea261852	Protein tyrosine kinase
Ssiderea261964	protein serine/threonine kinase activity
Ssiderea238942	7 transmembrane receptor (rhodopsin family)
Ssiderea259529	protein tyrosine/serine/threonine phosphatase activity
Ssiderea254990	SCF complex assembly
Ssiderea239887	Functions as actin-binding component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
Ssiderea250508	Rab5-interacting protein (Rab5ip)
Ssiderea246018	protein-cysteine S-acyltransferase activity
Ssiderea244340	negative regulation of SNARE complex assembly
Ssiderea212742	ATP synthesis coupled proton transport
Ssiderea244379	Kelch motif
Ssiderea184679	cellular response to menadione
Ssiderea234299	RNA polymerase II transcription regulator recruiting activity
Ssiderea252933	sodium potassium-transporting ATPase subunit
Ssiderea233289	G-protein coupled receptor activity
Ssiderea222036	apoptotic process
Ssiderea250215	Ankyrin repeat
Ssiderea262470	TNF receptor-associated factor
Ssiderea256416	RWD
Ssiderea257827	CASK interacting protein 2
Ssiderea257112	positive regulation of endothelial cell chemotaxis
Ssiderea228548	very-long-chain enoyl-CoA reductase activity
Ssiderea117608	Aminotransferase class-III
Ssiderea258814	Collagen triple helix
Ssiderea111113	RNA cap guanine-N2 methyltransferase
Ssiderea255157	K02A2.6-like
Ssiderea256287	Methyltransferase
Ssiderea263703	Sertoli cell development
Ssiderea238935	Cyclin-dependent kinase
Ssiderea244692	Pre-mRNA-splicing factor ISY1 homolog
Ssiderea213642	positive regulation of Arp2/3 complex-mediated actin nucleation
Ssiderea247585	tRNA-type intron splice site recognition and cleavage
Ssiderea262345	protein tyrosine phosphatase activity
Ssiderea251989	mismatched DNA binding
Ssiderea246907	kinase 1
Ssiderea93330	FGGY family of carbohydrate kinases, N-terminal domain
Ssiderea254624	mRNA transport
Ssiderea5178	sodium channel activity
Ssiderea209381	Leucine Rich repeat
Ssiderea250602	7 transmembrane receptor (rhodopsin family)
Ssiderea240267	polyadenylation-dependent snoRNA 3'-end processing
Ssiderea236208	COPII-coated vesicle budding
Ssiderea263313	WD domain, G-beta repeat
Ssiderea246632	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea212676	Proton-conducting pore forming subunit of the membrane integral V0 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells
Ssiderea256426	tripeptidyl-peptidase activity
Ssiderea239319	3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity
Ssiderea244190	1-acylglycerol-3-phosphate O-acyltransferase activity
Ssiderea263791	K02A2.6-like
Ssiderea256025	Protein similar to CwfJ C-terminus 1
Ssiderea212173	Pyridoxal-phosphate dependent enzyme
Ssiderea257473	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Ssiderea245617	negative regulation of cell death
Ssiderea261305	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
Ssiderea44498	oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor
Ssiderea248590	protein C-terminal methylesterase activity
Ssiderea253924	Eukaryotic translation initiation factor 2B, subunit 1 alpha
Ssiderea249318	positive regulation of ubiquitin-dependent endocytosis
Ssiderea229568	Ankyrin repeats (many copies)
Ssiderea244372	8-hydroxy-dADP phosphatase activity
Ssiderea254033	RNA secondary structure unwinding
Ssiderea247808	regulation of signal transduction involved in mitotic G2 DNA damage checkpoint
Ssiderea260142	N-terminal peptidyl-methionine acetylation
Ssiderea258955	nucleic acid-templated transcription
Ssiderea254253	positive regulation of receptor-mediated endocytosis involved in cholesterol transport
Ssiderea205284	Short calmodulin-binding motif containing conserved Ile and Gln residues.
Ssiderea153029	ER membrane protein complex subunit 3
Ssiderea216490	small ribosomal subunit rRNA binding
Ssiderea258564	Protein SSUH2 homolog
Ssiderea254863	DNA ligation involved in DNA recombination
Ssiderea228444	TNF receptor-associated factor 1
Ssiderea221955	structural constituent of ribosome
Ssiderea250577	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
Ssiderea242649	oxidoreductase activity
Ssiderea247933	SH3 domain binding
Ssiderea240586	Urease, gamma subunit
Ssiderea237825	Lipoxygenase homology domain-containing protein 1
Ssiderea261151	single fertilization
Ssiderea256108	establishment of synaptic vesicle localization
Ssiderea253083	ubiquitin-specific protease activity involved in negative regulation of retrograde protein transport, ER to cytosol
Ssiderea224554	elongation of very long chain fatty acids protein
Ssiderea259550	Inhibitor of nuclear factor kappa-B kinase subunit
Ssiderea223882	Exocyst complex component
Ssiderea254877	Enoyl-CoA hydratase/isomerase
Ssiderea319418	Belongs to the universal ribosomal protein uS3 family
Ssiderea254257	extracellularly glycine-gated chloride channel activity
Ssiderea257588	respiratory chain complex III assembly
Ssiderea247542	metal ion binding
Ssiderea242204	N-glycan processing to lysosome
Ssiderea254738	diacylglycerol binding
Ssiderea258821	regulation of DNA-binding transcription factor activity
Ssiderea258074	NTPase, KAP family P-loop
Ssiderea254536	Transcription elongation factor that enhances transcription elongation by RNA polymerase II (RNAPII)
Ssiderea261936	protein ubiquitination
Ssiderea236364	serine-type endopeptidase activity
Ssiderea255699	FAD metabolic process
Ssiderea226456	positive regulation of extrinsic apoptotic signaling pathway via death domain receptors
Ssiderea253244	voltage-gated potassium channel activity
Ssiderea230159	procollagen-proline 4-dioxygenase activity
Ssiderea258591	chaperone cofactor-dependent protein refolding
Ssiderea248033	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea238080	5S rRNA binding
Ssiderea246254	DNA-directed RNA polymerase II subunit
Ssiderea261520	nuclear membrane organization
Ssiderea251456	GTP-specific succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit
Ssiderea262842	rRNA-processing protein FCF1
Ssiderea258001	meiotic chromosome condensation
Ssiderea261051	regulation of vesicle fusion
Ssiderea240924	DNA topoisomerase type I activity
Ssiderea263606	Sec-23 interacting protein
Ssiderea253658	kinase H1
Ssiderea258920	Family with sequence similarity 160, member
Ssiderea246045	Protein FAM221A/B
Ssiderea233575	thyroid hormone transmembrane transporter activity
Ssiderea259462	RNA splicing
Ssiderea195119	Cathepsin D
Ssiderea246858	ubiquitin-like protein ligase activity
Ssiderea238014	Lipoxygenase homology 2 (beta barrel) domain
Ssiderea261381	metalloaminopeptidase activity
Ssiderea245000	DNA-dependent protein kinase activity
Ssiderea241820	hypochlorous acid biosynthetic process
Ssiderea229124	Cysteine and histidine-rich protein 1
Ssiderea249222	D-arabinono-1,4-lactone oxidase
Ssiderea242237	pyridoxamine-phosphate oxidase activity
Ssiderea254482	A Receptor for Ubiquitination Targets
Ssiderea259274	UDP-glucose transmembrane transport
Ssiderea238759	intra-Golgi vesicle-mediated transport
Ssiderea238141	negative regulation of ubiquitin protein ligase activity
Ssiderea255716	Kelch-like protein 12
Ssiderea260542	Tumor necrosis factor, alpha-induced protein 3
Ssiderea261968	ubiquitin-like protein-specific protease activity
Ssiderea247375	Acyl-CoA synthetase long-chain family member
Ssiderea240630	termination of RNA polymerase II transcription
Ssiderea188343	protein depalmitoleylation
Ssiderea250803	dipeptidyl-peptidase activity
Ssiderea261889	peripheral nervous system myelin maintenance
Ssiderea255680	beta-galactosidase
Ssiderea246959	RNA binding
Ssiderea257758	F-box protein 38
Ssiderea256141	type B pancreatic cell proliferation
Ssiderea248300	GTP binding
Ssiderea258549	negative regulation of Rho-dependent protein serine/threonine kinase activity
Ssiderea247816	symporter activity
Ssiderea263167	calcium channel activity
Ssiderea254629	GTPase activator activity
Ssiderea244492	protein import into mitochondrial inner membrane
Ssiderea262370	tRNA splicing, via endonucleolytic cleavage and ligation
Ssiderea261989	metalloaminopeptidase activity
Ssiderea71086	BCL (B-Cell lymphoma); contains BH1, BH2 regions
Ssiderea234886	cAMP-dependent protein kinase regulator activity
Ssiderea237761	It is involved in the biological process described with
Ssiderea306408	COG1226 Kef-type K transport systems
Ssiderea254844	mitochondrion-endoplasmic reticulum membrane tethering
Ssiderea256017	heparan sulfate 2-O-sulfotransferase activity
Ssiderea259120	Protein tyrosine phosphatase, receptor type
Ssiderea231776	symporter activity
Ssiderea259680	GTP binding
Ssiderea260087	mRNA transcription
Ssiderea245388	N-acetylglucosamine 6-O-sulfotransferase activity
Ssiderea243330	poly(A)-specific ribonuclease activity
Ssiderea251401	Guanine nucleotide-binding protein
Ssiderea250451	positive regulation of fibroblast apoptotic process
Ssiderea254210	lysosome localization
Ssiderea261068	protein localization to nucleolus
Ssiderea250481	snoRNA binding
Ssiderea217977	Ankyrin repeats (3 copies)
Ssiderea260034	solute carrier family 22
Ssiderea247600	2'-5'-oligoadenylate synthetase 1, domain 2, C-terminus
Ssiderea226088	EF-hand domain
Ssiderea252361	sulfuric ester hydrolase activity
Ssiderea253474	transmembrane transport
Ssiderea178841	Ribosomal L24 domain containing 1
Ssiderea39745	condensed mesenchymal cell proliferation
Ssiderea260815	Tctex-1 family
Ssiderea259813	Glutamate-rich 3
Ssiderea238580	Cupin-like domain
Ssiderea237119	regulation of T cell homeostatic proliferation
Ssiderea333638	mitotic cytokinesis
Ssiderea263253	3'-flap-structured DNA binding
Ssiderea254865	demethylase 8
Ssiderea194084	Thyroglobulin type I repeats.
Ssiderea252822	sideroflexin
Ssiderea251901	Tctex-1 family
Ssiderea238523	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein
Ssiderea152491	Belongs to the eukaryotic ribosomal protein eS4 family
Ssiderea241260	Protein FAM221A/B
Ssiderea207281	structural constituent of cuticle
Ssiderea253194	very-long-chain-acyl-CoA dehydrogenase activity
Ssiderea261692	glutathione hydrolase activity
Ssiderea255170	vesicle-mediated transport
Ssiderea209014	identical protein binding
Ssiderea241039	mitochondrial fission
Ssiderea262099	Presequence protease
Ssiderea242183	microtubule motor activity
Ssiderea233654	guanylate cyclase activity
Ssiderea242348	myotome development
Ssiderea253843	guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity
Ssiderea238727	kelch-like
Ssiderea263395	phosphodiesterase I activity
Ssiderea255402	positive regulation of fertilization
Ssiderea247813	nucleotidase 1
Ssiderea323414	PFAM N-acylglucosamine 2-epimerase (GlcNAc 2-epimerase)
Ssiderea185926	E3 ubiquitin-protein ligase HERC2-like
Ssiderea219537	transferase activity, transferring glycosyl groups
Ssiderea259202	Atg8 ligase activity
Ssiderea242194	neurotransmitter receptor localization to postsynaptic specialization membrane
Ssiderea247714	left/right axis specification
Ssiderea238566	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Ssiderea239957	Calcium calmodulin-dependent protein kinase
Ssiderea243617	ring finger and CHY zinc finger
Ssiderea239236	biological adhesion
Ssiderea436257	betaine-homocysteine S-methyltransferase activity
Ssiderea248324	Arp2/3 complex-mediated actin nucleation
Ssiderea256610	Mov10 RISC complex RNA helicase like 1
Ssiderea47114	Tuberous sclerosis
Ssiderea258915	Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis
Ssiderea258284	dGTPase activity
Ssiderea190862	-
Ssiderea248682	S-adenosylmethioninamine biosynthetic process
Ssiderea255367	uroporphyrinogen decarboxylase activity
Ssiderea173310	formin homology 2 domain containing
Ssiderea255658	N-terminal peptidyl-glycine N-myristoylation
Ssiderea127989	Brefeldin A-inhibited guanine nucleotide-exchange protein
Ssiderea262986	5-oxoprolinase (ATP-hydrolyzing) activity
Ssiderea166535	AMPA glutamate receptor activity
Ssiderea226877	Ribosomal protein S27a
Ssiderea311826	Dual specificity phosphatase, catalytic domain
Ssiderea230803	Meprin A
Ssiderea250458	Peroxidasin homolog
Ssiderea236318	Churchill protein
Ssiderea262480	lipoprotein receptor-related protein
Ssiderea257377	asparagine catabolic process via L-aspartate
Ssiderea254113	patched ligand maturation
Ssiderea99063	TatD related DNase
Ssiderea249424	F-box WD repeat-containing protein 4
Ssiderea233660	calmodulin-dependent protein kinase activity
Ssiderea255441	sphingomyelin phosphodiesterase D activity
Ssiderea258831	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea223547	Domain of unknown function (DUF4419)
Ssiderea254073	positive regulation of p38MAPK cascade
Ssiderea250280	MAP kinase tyrosine/serine/threonine phosphatase activity
Ssiderea243954	threonine-type endopeptidase activity
Ssiderea237827	-
Ssiderea200712	voltage-gated potassium channel activity
Ssiderea259012	5'-3' exonuclease activity
Ssiderea236778	ubiquitin-like protein ligase activity
Ssiderea254614	peptidyl-tryptophan modification
Ssiderea248672	GPI anchor metabolic process
Ssiderea249307	proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific
Ssiderea209007	ribosomal small subunit assembly
Ssiderea289989	Serine threonine-protein kinase
Ssiderea262539	carbohydrate binding. It is involved in the biological process described with mannose metabolic process
Ssiderea300205	Coiled-coil domain containing protein (DUF2052)
Ssiderea260364	protein N-linked glycosylation via asparagine
Ssiderea255966	Lysoplasmalogenase-like protein
Ssiderea257979	mitotic spindle midzone assembly
Ssiderea263535	Structural maintenance of chromosomes flexible hinge
Ssiderea258342	protein ADP-ribosylase activity
Ssiderea48296	Ubiquitin-like domain
Ssiderea243781	ferric-chelate reductase activity
Ssiderea252642	Ring finger protein
Ssiderea208144	regulation of lipid metabolic process
Ssiderea262423	K02A2.6-like
Ssiderea255309	PDZ domain of MCC-2 bdg protein for Usher syndrome
Ssiderea245067	pyrimidine nucleotide transmembrane transporter activity
Ssiderea258211	Tetratricopeptide repeat
Ssiderea237044	actin filament polymerization
Ssiderea263489	-
Ssiderea239373	major facilitator superfamily
Ssiderea256448	GABA-A receptor activity
Ssiderea255178	Golgi vesicle transport
Ssiderea251619	iron-sulfur cluster assembly
Ssiderea236216	5-oxoprolinase (ATP-hydrolyzing) activity
